Location,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Albuquerque,2.4,1.1,45.0,12.0,0.08,0.072,4.0,2.0,1.0,19.0,8.7,155.0,29.0,0.01
Atlanta,1.7,1.2,43.0,9.0,0.1,0.071,9.0,2.0,1.0,20.0,10.4,34.0,18.0,0.01
Austin,0.6,0.4,,5.0,0.08,0.07,5.0,2.0,1.0,24.0,7.2,51.0,14.0,
Baltimore,2.2,1.4,47.0,15.0,0.1,0.072,21.0,4.0,1.0,30.0,11.3,27.0,14.0,
Boston,1.8,1.2,50.0,18.0,0.09,0.073,31.0,7.0,2.0,20.0,9.0,50.0,19.0,0.0
Charlotte,1.9,1.6,39.0,8.0,0.08,0.067,8.0,2.0,0.0,19.0,9.2,45.0,19.0,0.0
Chicago,2.7,1.4,64.0,21.0,0.09,0.075,73.0,17.0,4.0,27.0,12.2,121.0,30.0,0.1
Cleveland,7.8,4.6,53.0,13.0,0.08,0.07,119.0,31.0,4.0,26.0,12.2,95.0,41.0,0.06
Colorado Springs,3.3,1.8,,,0.09,0.074,58.0,14.0,3.0,18.0,6.0,,,
Columbus,1.6,1.0,,,0.08,0.073,13.0,5.0,1.0,24.0,10.7,41.0,22.0,0.01
Dallas,2.0,1.5,49.0,12.0,0.1,0.085,16.0,3.0,1.0,26.0,12.9,93.0,30.0,0.08
Denver,5.7,2.5,68.0,24.0,0.11,0.085,38.0,11.0,2.0,29.0,8.7,97.0,34.0,0.02
Detroit,4.8,1.6,48.0,18.0,0.1,0.072,72.0,24.0,3.0,25.0,11.0,81.0,26.0,0.04
El Paso,6.6,2.6,56.0,14.0,0.1,0.073,9.0,3.0,0.0,36.0,10.9,,,0.01
Fresno,3.3,2.2,61.0,14.0,0.12,0.095,5.0,2.0,1.0,66.0,17.1,107.0,45.0,0.01
Houston,2.8,1.9,58.0,13.0,0.11,0.084,35.0,8.0,1.0,24.0,12.2,80.0,31.0,0.01
Indianapolis,3.6,2.2,44.0,12.0,0.08,0.069,78.0,23.0,3.0,25.0,11.7,56.0,25.0,0.02
Jacksonville,1.6,1.1,38.0,8.0,0.08,0.06,60.0,14.0,1.0,,,47.0,19.0,
Kansas City,2.2,1.7,48.0,13.0,0.09,0.071,156.0,51.0,6.0,21.0,10.1,57.0,25.0,0.01
Las Vegas,4.0,2.9,,14.0,0.1,0.082,7.0,4.0,2.0,26.0,10.8,169.0,29.0,0.01
Los Angeles,5.6,3.4,71.0,23.0,0.13,0.094,12.0,4.0,1.0,30.0,12.6,82.0,33.0,0.1
Louisville,1.9,1.4,,,0.09,0.068,30.0,9.0,3.0,24.0,12.5,36.0,17.0,0.0
Memphis,2.4,1.9,39.0,8.0,0.08,0.069,,,,22.0,10.0,51.0,19.0,0.0
Miami,1.8,1.4,44.0,8.0,0.08,0.068,3.0,1.0,0.0,11.0,4.9,61.0,18.0,
Milwaukee,,,50.0,10.0,0.08,0.069,23.0,5.0,1.0,25.0,9.5,38.0,17.0,
